Number of static obstacles,Number of dynamic obstacles,Minimum distance from obstacle,Average distance between obstacles,Largest free angle,Area,Run number,Robot position,Obs pos,Dyn obs pos,Is stuck
7,0,0,0,0,A to B,0,"(27, 27)","[(25, 23), (26, 23), (27, 22), (27, 23), (28, 23), (28, 24), (28, 25)]",[],TRUE
7,0,0,0,0,A to B,0,"(28, 27)","[(25, 23), (26, 23), (27, 23), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
5,0,0,0,0,A to B,0,"(29, 27)","[(26, 23), (27, 23), (28, 23), (28, 24), (28, 25)]",[],TRUE
4,0,0,0,0,A to B,0,"(30, 27)","[(27, 23), (28, 23), (28, 24), (28, 25)]",[],TRUE
5,0,0,0,0,A to B,0,"(31, 26)","[(27, 23), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
7,0,0,0,0,A to B,0,"(31, 25)","[(27, 22), (27, 23), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
5,0,0,0,0,A to B,0,"(32, 24)","[(28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
7,0,0,0,0,A to B,0,"(32, 23)","[(27, 23), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
8,0,0,0,0,A to B,0,"(32, 22)","[(27, 22), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
8,0,0,0,0,A to B,0,"(32, 21)","[(27, 21), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24)]",[],TRUE
8,3,4.123105626,2.858830408,36.86989765,A to B,0,"(32, 20)","[(27, 20), (28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23)]","[(31, 16), (32, 15), (35, 16)]",FALSE
8,3,4.123105626,2.858830408,36.86989765,A to B,0,"(32, 20)","[(27, 20), (28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23)]","[(31, 16), (32, 15), (35, 16)]",FALSE
8,3,3.16227766,2.858830408,45,A to B,0,"(32, 20)","[(27, 20), (28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23)]","[(31, 17), (32, 16), (35, 17)]",FALSE
8,3,3.16227766,2.858830408,45,A to B,0,"(32, 20)","[(27, 20), (28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23)]","[(31, 17), (32, 16), (35, 17)]",FALSE
8,4,2.236067977,2.775696409,29.7448813,A to B,0,"(32, 20)","[(27, 20), (28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23)]","[(31, 18), (32, 17), (34, 16), (35, 18)]",FALSE
8,4,2.236067977,2.775696409,29.7448813,A to B,0,"(32, 20)","[(27, 20), (28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23)]","[(31, 18), (32, 17), (34, 16), (35, 18)]",FALSE
8,5,1.414213562,3.005252409,37.87498365,A to B,0,"(32, 20)","[(27, 20), (28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23)]","[(31, 16), (31, 19), (32, 18), (34, 17), (35, 19)]",FALSE
8,5,1.414213562,3.005252409,37.87498365,A to B,0,"(32, 20)","[(27, 20), (28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23)]","[(31, 16), (31, 19), (32, 18), (34, 17), (35, 19)]",FALSE
8,5,1,3.005252409,180,A to B,0,"(32, 20)","[(27, 20), (28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23)]","[(31, 17), (31, 20), (32, 19), (34, 18), (35, 20)]",FALSE
8,5,1,3.005252409,180,A to B,0,"(32, 20)","[(27, 20), (28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23)]","[(31, 17), (31, 20), (32, 19), (34, 18), (35, 20)]",FALSE
8,5,0,3.005252409,116.5650512,A to B,0,"(32, 20)","[(27, 20), (28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23)]","[(31, 18), (31, 21), (32, 20), (34, 19), (35, 21)]",FALSE
8,5,0,3.005252409,116.5650512,A to B,0,"(32, 20)","[(27, 20), (28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23)]","[(31, 18), (31, 21), (32, 20), (34, 19), (35, 21)]",FALSE
8,5,1,3.005252409,135,A to B,0,"(32, 20)","[(27, 20), (28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23)]","[(31, 19), (31, 22), (32, 21), (34, 20), (35, 22)]",FALSE
8,5,1,3.005252409,135,A to B,0,"(32, 20)","[(27, 20), (28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23)]","[(31, 19), (31, 22), (32, 21), (34, 20), (35, 22)]",FALSE
8,5,1,3.005252409,71.56505118,A to B,0,"(32, 20)","[(27, 20), (28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23)]","[(31, 20), (31, 23), (32, 22), (34, 21), (35, 23)]",FALSE
8,5,1,3.005252409,71.56505118,A to B,0,"(32, 20)","[(27, 20), (28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23)]","[(31, 20), (31, 23), (32, 22), (34, 21), (35, 23)]",FALSE
8,5,1.414213562,3.005252409,36.86989765,A to B,0,"(32, 20)","[(27, 20), (28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23)]","[(31, 21), (31, 24), (32, 23), (34, 22), (35, 24)]",FALSE
8,5,1.414213562,3.005252409,36.86989765,A to B,0,"(32, 20)","[(27, 20), (28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23)]","[(31, 21), (31, 24), (32, 23), (34, 22), (35, 24)]",FALSE
8,3,2.236067977,2.544804538,33.69006753,A to B,0,"(32, 20)","[(27, 20), (28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23)]","[(31, 22), (32, 24), (34, 23)]",FALSE
8,3,2.236067977,2.544804538,33.69006753,A to B,0,"(32, 20)","[(27, 20), (28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23)]","[(31, 22), (32, 24), (34, 23)]",FALSE
8,3,3.16227766,2.544804538,26.56505118,A to B,0,"(32, 20)","[(27, 20), (28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23)]","[(31, 23), (32, 25), (34, 24)]",FALSE
8,3,3.16227766,2.544804538,26.56505118,A to B,0,"(32, 20)","[(27, 20), (28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23)]","[(31, 23), (32, 25), (34, 24)]",FALSE
8,1,4.123105626,0,0,A to B,0,"(32, 20)","[(27, 20), (28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23)]","[(31, 24)]",FALSE
8,1,4.123105626,0,0,A to B,0,"(32, 20)","[(27, 20), (28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23)]","[(31, 24)]",FALSE
8,0,0,0,0,A to B,0,"(32, 20)","[(27, 20), (28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23)]",[],FALSE
8,0,0,0,0,B to C,0,"(32, 19)","[(27, 19), (28, 16), (28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22)]",[],TRUE
8,0,0,0,0,B to C,0,"(32, 20)","[(27, 20), (28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23)]",[],TRUE
16,1,0,0,0,B to C,0,"(31, 21)","[(26, 21), (27, 18), (27, 19), (27, 20), (27, 21), (27, 22), (27, 23), (28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]","[(31, 26)]",FALSE
16,0,0,0,0,B to C,0,"(31, 21)","[(26, 21), (27, 18), (27, 19), (27, 20), (27, 21), (27, 22), (27, 23), (28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],FALSE
14,1,0,0,0,B to C,0,"(31, 22)","[(26, 22), (27, 19), (27, 20), (27, 21), (27, 22), (27, 23), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]","[(31, 27)]",FALSE
14,0,0,0,0,B to C,0,"(31, 22)","[(26, 22), (27, 19), (27, 20), (27, 21), (27, 22), (27, 23), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],FALSE
12,0,0,0,0,B to C,0,"(31, 23)","[(26, 23), (27, 20), (27, 21), (27, 22), (27, 23), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
9,0,0,0,0,B to C,0,"(31, 24)","[(27, 21), (27, 22), (27, 23), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
7,3,4.472135955,2.824045318,26.56505118,B to C,0,"(31, 25)","[(27, 22), (27, 23), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]","[(29, 29), (31, 30), (33, 29)]",FALSE
7,3,3.605551275,2.786391201,33.69006753,B to C,0,"(31, 25)","[(27, 22), (27, 23), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]","[(31, 29), (33, 28), (35, 28)]",FALSE
7,4,3.605551275,2.77662278,33.69006753,B to C,0,"(31, 25)","[(27, 22), (27, 23), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]","[(31, 29), (31, 30), (33, 28), (35, 28)]",FALSE
7,3,2.828427125,2.786391201,45,B to C,0,"(31, 25)","[(27, 22), (27, 23), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]","[(31, 28), (33, 27), (35, 27)]",FALSE
7,4,2.828427125,2.77662278,45,B to C,0,"(31, 25)","[(27, 22), (27, 23), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]","[(31, 28), (31, 29), (33, 27), (35, 27)]",FALSE
7,4,2,2.885117726,53.13010235,B to C,0,"(31, 25)","[(27, 22), (27, 23), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]","[(31, 27), (33, 26), (35, 26), (35, 28)]",FALSE
7,5,2,2.961126943,53.13010235,B to C,0,"(31, 25)","[(27, 22), (27, 23), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]","[(31, 27), (31, 28), (33, 26), (35, 26), (35, 28)]",FALSE
7,4,1,2.559862267,63.43494882,B to C,0,"(31, 25)","[(27, 22), (27, 23), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]","[(31, 26), (33, 26), (35, 26), (35, 27)]",FALSE
7,5,1,2.671834721,63.43494882,B to C,0,"(31, 25)","[(27, 22), (27, 23), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]","[(31, 26), (31, 27), (33, 26), (35, 26), (35, 27)]",FALSE
7,3,0,2.786391201,14.03624347,B to C,0,"(31, 25)","[(27, 22), (27, 23), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]","[(31, 25), (33, 26), (35, 26)]",FALSE
7,4,0,2.559862267,63.43494882,B to C,0,"(31, 25)","[(27, 22), (27, 23), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]","[(31, 25), (31, 26), (33, 26), (35, 26)]",FALSE
7,4,1,2.77662278,90,B to C,0,"(31, 25)","[(27, 22), (27, 23), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]","[(31, 24), (33, 26), (35, 25), (35, 26)]",FALSE
7,5,0,2.801891029,90,B to C,0,"(31, 25)","[(27, 22), (27, 23), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]","[(31, 24), (31, 25), (33, 26), (35, 25), (35, 26)]",FALSE
7,4,2,3.259514004,75.96375653,B to C,0,"(31, 25)","[(27, 22), (27, 23), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]","[(31, 23), (33, 26), (35, 24), (35, 26)]",FALSE
7,5,1,3.185764711,75.96375653,B to C,0,"(31, 25)","[(27, 22), (27, 23), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]","[(31, 23), (31, 24), (33, 26), (35, 24), (35, 26)]",FALSE
7,4,2.236067977,3.809607851,63.43494882,B to C,0,"(31, 25)","[(27, 22), (27, 23), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]","[(31, 22), (33, 26), (35, 23), (35, 26)]",FALSE
7,5,2,3.185764711,63.43494882,B to C,0,"(31, 25)","[(27, 22), (27, 23), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]","[(31, 22), (31, 23), (33, 25), (35, 23), (35, 25)]",FALSE
7,4,2,3.809607851,53.13010235,B to C,0,"(31, 25)","[(27, 22), (27, 23), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]","[(31, 21), (33, 25), (35, 22), (35, 25)]",FALSE
7,5,2.236067977,3.185764711,53.13010235,B to C,0,"(31, 25)","[(27, 22), (27, 23), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]","[(31, 21), (31, 22), (33, 24), (35, 22), (35, 24)]",FALSE
7,3,2.236067977,4.042996735,63.43494882,B to C,0,"(31, 25)","[(27, 22), (27, 23), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]","[(31, 20), (33, 24), (35, 24)]",FALSE
7,4,2.828427125,3.151019059,45,B to C,0,"(31, 25)","[(27, 22), (27, 23), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]","[(31, 20), (31, 21), (33, 23), (35, 23)]",FALSE
7,2,2.828427125,2,341.5650512,B to C,0,"(31, 25)","[(27, 22), (27, 23), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]","[(33, 23), (35, 23)]",FALSE
7,3,3.605551275,3.100187693,33.69006753,B to C,0,"(31, 25)","[(27, 22), (27, 23), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]","[(31, 20), (33, 22), (35, 22)]",FALSE
7,2,3.605551275,2,340.5599652,B to C,0,"(31, 25)","[(27, 22), (27, 23), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]","[(33, 22), (35, 22)]",FALSE
7,1,4.472135955,0,0,B to C,0,"(31, 25)","[(27, 22), (27, 23), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]","[(33, 21)]",FALSE
7,1,4.472135955,0,0,B to C,0,"(31, 25)","[(27, 22), (27, 23), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]","[(33, 21)]",FALSE
7,0,0,0,0,B to C,0,"(31, 25)","[(27, 22), (27, 23), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],FALSE
5,0,0,0,0,B to C,0,"(31, 26)","[(27, 23), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
3,0,0,0,0,B to C,0,"(31, 27)","[(28, 23), (28, 24), (28, 25)]",[],TRUE
2,0,0,0,0,B to C,0,"(30, 28)","[(28, 24), (28, 25)]",[],TRUE
1,0,0,0,0,B to C,0,"(29, 29)","[(28, 25)]",[],TRUE
1,0,0,0,0,B to C,0,"(28, 30)","[(28, 25)]",[],TRUE
0,0,0,0,0,B to C,0,"(27, 31)",[],[],TRUE
2,0,0,0,0,B to C,0,"(26, 32)","[(21, 32), (28, 36)]",[],TRUE
8,0,0,0,0,B to C,0,"(25, 33)","[(20, 33), (21, 30), (21, 31), (21, 32), (21, 33), (21, 34), (28, 36), (28, 37)]",[],TRUE
12,0,0,0,0,B to C,0,"(24, 34)","[(19, 34), (20, 31), (20, 32), (20, 33), (20, 34), (21, 30), (21, 31), (21, 32), (21, 33), (21, 34), (28, 36), (28, 37)]",[],TRUE
11,0,0,0,0,B to C,0,"(23, 35)","[(19, 32), (19, 33), (19, 34), (20, 31), (20, 32), (20, 33), (20, 34), (21, 31), (21, 32), (21, 33), (21, 34)]",[],TRUE
11,0,0,0,0,B to C,0,"(22, 36)","[(18, 33), (18, 34), (19, 32), (19, 33), (19, 34), (20, 32), (20, 33), (20, 34), (21, 32), (21, 33), (21, 34)]",[],TRUE
10,0,0,0,0,B to C,0,"(21, 37)","[(17, 34), (18, 33), (18, 34), (19, 33), (19, 34), (20, 33), (20, 34), (21, 32), (21, 33), (21, 34)]",[],TRUE
6,0,0,0,0,B to C,0,"(20, 38)","[(17, 34), (18, 34), (19, 34), (20, 33), (20, 34), (21, 34)]",[],TRUE
1,0,0,0,0,B to C,0,"(20, 39)","[(20, 34)]",[],TRUE
0,0,0,0,0,B to C,0,"(20, 40)",[],[],TRUE
0,0,0,0,0,B to C,0,"(19, 41)",[],[],TRUE
1,0,0,0,0,B to C,0,"(18, 42)","[(13, 42)]",[],TRUE
5,0,0,0,0,B to C,0,"(17, 43)","[(12, 43), (13, 40), (13, 41), (13, 42), (13, 43)]",[],TRUE
3,0,0,0,0,B to C,0,"(17, 44)","[(13, 41), (13, 42), (13, 43)]",[],TRUE
2,0,0,0,0,C to B,0,"(17, 45)","[(13, 42), (13, 43)]",[],TRUE
0,0,0,0,0,C to B,0,"(18, 44)",[],[],TRUE
0,0,0,0,0,C to B,0,"(19, 43)",[],[],TRUE
0,0,0,0,0,C to B,0,"(20, 42)",[],[],TRUE
0,0,0,0,0,C to B,0,"(21, 41)",[],[],TRUE
2,0,0,0,0,C to B,0,"(22, 40)","[(26, 42), (26, 43)]",[],TRUE
4,0,0,0,0,C to B,0,"(23, 39)","[(26, 42), (26, 43), (27, 42), (28, 39)]",[],TRUE
9,0,0,0,0,C to B,0,"(24, 38)","[(21, 34), (26, 42), (27, 42), (28, 36), (28, 37), (28, 38), (28, 39), (28, 40), (28, 41)]",[],TRUE
7,0,0,0,0,C to B,0,"(25, 37)","[(21, 34), (28, 36), (28, 37), (28, 38), (28, 39), (28, 40), (28, 41)]",[],TRUE
7,0,0,0,0,C to B,0,"(25, 36)","[(21, 33), (21, 34), (28, 36), (28, 37), (28, 38), (28, 39), (28, 40)]",[],TRUE
7,0,0,0,0,C to B,0,"(25, 35)","[(21, 32), (21, 33), (21, 34), (28, 36), (28, 37), (28, 38), (28, 39)]",[],TRUE
4,0,0,0,0,C to B,0,"(26, 34)","[(21, 34), (28, 36), (28, 37), (28, 38)]",[],TRUE
2,0,0,0,0,C to B,0,"(27, 33)","[(28, 36), (28, 37)]",[],TRUE
2,0,0,0,0,C to B,0,"(28, 32)","[(28, 36), (28, 37)]",[],TRUE
0,0,0,0,0,C to B,0,"(29, 31)",[],[],TRUE
0,0,0,0,0,C to B,0,"(30, 30)",[],[],TRUE
1,0,0,0,0,C to B,0,"(30, 29)","[(28, 25)]",[],TRUE
2,0,0,0,0,C to B,0,"(30, 28)","[(28, 24), (28, 25)]",[],TRUE
4,0,0,0,0,C to B,0,"(30, 27)","[(27, 23), (28, 23), (28, 24), (28, 25)]",[],TRUE
5,0,0,0,0,C to B,0,"(31, 26)","[(27, 23), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
7,0,0,0,0,C to B,0,"(31, 25)","[(27, 22), (27, 23), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
5,0,0,0,0,C to B,0,"(32, 24)","[(28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
7,0,0,0,0,C to B,0,"(32, 23)","[(27, 23), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
8,0,0,0,0,C to B,0,"(32, 22)","[(27, 22), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
8,0,0,0,0,C to B,0,"(32, 21)","[(27, 21), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24)]",[],TRUE
8,0,0,0,0,C to B,0,"(32, 20)","[(27, 20), (28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23)]",[],TRUE
8,0,0,0,0,B to A,0,"(32, 19)","[(27, 19), (28, 16), (28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22)]",[],TRUE
8,0,0,0,0,B to A,0,"(32, 20)","[(27, 20), (28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23)]",[],TRUE
16,0,0,0,0,B to A,0,"(31, 21)","[(26, 21), (27, 18), (27, 19), (27, 20), (27, 21), (27, 22), (27, 23), (28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
14,0,0,0,0,B to A,0,"(31, 22)","[(26, 22), (27, 19), (27, 20), (27, 21), (27, 22), (27, 23), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
12,0,0,0,0,B to A,0,"(31, 23)","[(26, 23), (27, 20), (27, 21), (27, 22), (27, 23), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
9,0,0,0,0,B to A,0,"(31, 24)","[(27, 21), (27, 22), (27, 23), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
7,0,0,0,0,B to A,0,"(31, 25)","[(27, 22), (27, 23), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
5,0,0,0,0,B to A,0,"(31, 26)","[(27, 23), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
4,0,0,0,0,B to A,0,"(30, 27)","[(27, 23), (28, 23), (28, 24), (28, 25)]",[],TRUE
5,0,0,0,0,B to A,0,"(29, 27)","[(26, 23), (27, 23), (28, 23), (28, 24), (28, 25)]",[],TRUE
7,0,0,0,0,B to A,0,"(28, 27)","[(25, 23), (26, 23), (27, 23), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
7,0,0,0,0,B to A,0,"(27, 27)","[(25, 23), (26, 23), (27, 22), (27, 23), (28, 23), (28, 24), (28, 25)]",[],TRUE
7,0,0,0,0,B to A,0,"(26, 27)","[(25, 23), (26, 22), (26, 23), (27, 23), (28, 23), (28, 24), (28, 25)]",[],TRUE
12,0,0,0,0,B to A,0,"(25, 26)","[(21, 29), (25, 21), (25, 22), (25, 23), (26, 22), (26, 23), (27, 22), (27, 23), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
14,0,0,0,0,B to A,0,"(24, 25)","[(21, 29), (25, 21), (25, 22), (25, 23), (26, 21), (26, 22), (26, 23), (27, 21), (27, 22), (27, 23), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
12,0,0,0,0,B to A,0,"(23, 24)","[(25, 20), (25, 21), (25, 22), (25, 23), (26, 20), (26, 21), (26, 22), (26, 23), (27, 21), (27, 22), (27, 23), (28, 24)]",[],TRUE
10,0,0,0,0,B to A,0,"(22, 23)","[(25, 19), (25, 20), (25, 21), (25, 22), (25, 23), (26, 20), (26, 21), (26, 22), (26, 23), (27, 23)]",[],TRUE
12,0,0,0,0,B to A,0,"(22, 22)","[(25, 18), (25, 19), (25, 20), (25, 21), (25, 22), (25, 23), (26, 19), (26, 20), (26, 21), (26, 22), (26, 23), (27, 22)]",[],TRUE
7,0,0,0,0,B to A,0,"(21, 21)","[(25, 18), (25, 19), (25, 20), (25, 21), (25, 22), (25, 23), (26, 21)]",[],TRUE
1,0,0,0,0,B to A,0,"(20, 20)","[(25, 20)]",[],TRUE
0,0,0,0,0,B to A,0,"(19, 19)",[],[],TRUE
0,0,0,0,0,B to A,0,"(18, 18)",[],[],TRUE
0,0,0,0,0,B to A,0,"(17, 17)",[],[],TRUE
0,0,0,0,0,B to A,0,"(16, 16)",[],[],TRUE
1,0,0,0,0,A to B,1,"(15, 15)","[(15, 10)]",[],TRUE
0,0,0,0,0,A to B,1,"(16, 16)",[],[],TRUE
0,0,0,0,0,A to B,1,"(17, 17)",[],[],TRUE
0,0,0,0,0,A to B,1,"(18, 18)",[],[],TRUE
0,0,0,0,0,A to B,1,"(19, 19)",[],[],TRUE
1,0,0,0,0,A to B,1,"(20, 20)","[(25, 20)]",[],TRUE
7,0,0,0,0,A to B,1,"(21, 21)","[(25, 18), (25, 19), (25, 20), (25, 21), (25, 22), (25, 23), (26, 21)]",[],TRUE
12,0,0,0,0,A to B,1,"(22, 22)","[(25, 18), (25, 19), (25, 20), (25, 21), (25, 22), (25, 23), (26, 19), (26, 20), (26, 21), (26, 22), (26, 23), (27, 22)]",[],TRUE
10,0,0,0,0,A to B,1,"(22, 23)","[(25, 19), (25, 20), (25, 21), (25, 22), (25, 23), (26, 20), (26, 21), (26, 22), (26, 23), (27, 23)]",[],TRUE
12,0,0,0,0,A to B,1,"(23, 24)","[(25, 20), (25, 21), (25, 22), (25, 23), (26, 20), (26, 21), (26, 22), (26, 23), (27, 21), (27, 22), (27, 23), (28, 24)]",[],TRUE
14,0,0,0,0,A to B,1,"(24, 25)","[(21, 29), (25, 21), (25, 22), (25, 23), (26, 21), (26, 22), (26, 23), (27, 21), (27, 22), (27, 23), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
12,0,0,0,0,A to B,1,"(25, 26)","[(21, 29), (25, 21), (25, 22), (25, 23), (26, 22), (26, 23), (27, 22), (27, 23), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
7,0,0,0,0,A to B,1,"(26, 27)","[(25, 23), (26, 22), (26, 23), (27, 23), (28, 23), (28, 24), (28, 25)]",[],TRUE
7,0,0,0,0,A to B,1,"(27, 27)","[(25, 23), (26, 23), (27, 22), (27, 23), (28, 23), (28, 24), (28, 25)]",[],TRUE
7,0,0,0,0,A to B,1,"(28, 27)","[(25, 23), (26, 23), (27, 23), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
5,0,0,0,0,A to B,1,"(29, 27)","[(26, 23), (27, 23), (28, 23), (28, 24), (28, 25)]",[],TRUE
